,res_id,filetype,filesize_mb,event,duration_ms,mb_per_sec
0,,,,xml upload preparation,1838,
1,_0.1.docx,docx,0.1,bitstream upload,169,0.6
2,_0.1.docx,docx,0.1,resource creation,385,
3,_0.1.docx,docx,0.1,looping overhead,1,
4,_0.1.jpeg,jpeg,0.1,bitstream upload,364,0.3
5,_0.1.jpeg,jpeg,0.1,resource creation,249,
6,_0.1.jpeg,jpeg,0.1,looping overhead,1,
7,_0.1.mp3,mp3,0.1,bitstream upload,142,0.7
8,_0.1.mp3,mp3,0.1,resource creation,240,
9,_0.1.mp3,mp3,0.1,looping overhead,1,
10,_0.1.mp4,mp4,0.1,bitstream upload,277,0.4
11,_0.1.mp4,mp4,0.1,resource creation,726,
12,_0.1.mp4,mp4,0.1,looping overhead,0,
13,_0.1.txt,txt,0.1,bitstream upload,138,0.7
14,_0.1.txt,txt,0.1,resource creation,240,
15,_0.1.txt,txt,0.1,looping overhead,0,
16,_0.1.zip,zip,0.1,bitstream upload,145,0.7
17,_0.1.zip,zip,0.1,resource creation,223,
18,_0.1.zip,zip,0.1,looping overhead,1,
19,_1.docx,docx,1.0,bitstream upload,598,1.7
20,_1.docx,docx,1.0,resource creation,215,
21,_1.docx,docx,1.0,looping overhead,1,
22,_1.jpeg,jpeg,1.0,bitstream upload,567,1.8
23,_1.jpeg,jpeg,1.0,resource creation,215,
24,_1.jpeg,jpeg,1.0,looping overhead,1,
25,_1.mp3,mp3,1.0,bitstream upload,585,1.7
26,_1.mp3,mp3,1.0,resource creation,246,
27,_1.mp3,mp3,1.0,looping overhead,0,
28,_1.mp4,mp4,1.1,bitstream upload,683,1.6
29,_1.mp4,mp4,1.1,resource creation,2032,
30,_1.mp4,mp4,1.1,looping overhead,0,
31,_1.txt,txt,1.0,bitstream upload,681,1.5
32,_1.txt,txt,1.0,resource creation,242,
33,_1.txt,txt,1.0,looping overhead,1,
34,_1.zip,zip,1.0,bitstream upload,610,1.6
35,_1.zip,zip,1.0,resource creation,212,
36,_1.zip,zip,1.0,looping overhead,1,
37,_10.docx,docx,10.1,bitstream upload,6081,1.7
38,_10.docx,docx,10.1,resource creation,217,
39,_10.docx,docx,10.1,looping overhead,0,
40,_10.jpeg,jpeg,10.1,bitstream upload,5472,1.8
41,_10.jpeg,jpeg,10.1,resource creation,212,
42,_10.jpeg,jpeg,10.1,looping overhead,1,
43,_10.mp3,mp3,10.0,bitstream upload,5774,1.7
44,_10.mp3,mp3,10.0,resource creation,208,
45,_10.mp3,mp3,10.0,looping overhead,0,
46,_10.mp4,mp4,10.5,bitstream upload,6496,1.6
47,_10.mp4,mp4,10.5,resource creation,2414,
48,_10.mp4,mp4,10.5,looping overhead,1,
49,_10.txt,txt,10.0,bitstream upload,5983,1.7
50,_10.txt,txt,10.0,resource creation,266,
51,_10.txt,txt,10.0,looping overhead,0,
52,_10.zip,zip,10.5,bitstream upload,6790,1.5
53,_10.zip,zip,10.5,resource creation,212,
54,_10.zip,zip,10.5,looping overhead,0,
55,_100.docx,docx,102.4,bitstream upload,62345,1.6
56,_100.docx,docx,102.4,resource creation,246,
57,_100.docx,docx,102.4,looping overhead,0,
58,_100.jpeg,jpeg,101.8,bitstream upload,51736,2.0
59,_100.jpeg,jpeg,101.8,resource creation,253,
60,_100.jpeg,jpeg,101.8,looping overhead,1,
61,_100.mp3,mp3,100.4,bitstream upload,58808,1.7
62,_100.mp3,mp3,100.4,resource creation,221,
63,_100.mp3,mp3,100.4,looping overhead,0,
64,_100.mp4,mp4,99.4,bitstream upload,58890,1.7
65,_100.mp4,mp4,99.4,resource creation,11115,
66,_100.mp4,mp4,99.4,looping overhead,0,
67,_100.txt,txt,100.0,bitstream upload,60209,1.7
68,_100.txt,txt,100.0,resource creation,233,
69,_100.txt,txt,100.0,looping overhead,1,
70,_100.zip,zip,102.1,bitstream upload,60020,1.7
71,_100.zip,zip,102.1,resource creation,223,
72,_100.zip,zip,102.1,looping overhead,1,
